week_number,area_reported,cases_reported,disease,Region,Population,incidence_per_100k,lower_threshold,upper_threshold,outbreak_threshold,risk_level
3,Anuradhapura,0,Dysentery,Anuradhapura,960080,0.0,0.0,0.26004980454721865,0.4039233930098802,Normal
3,Badulla,0,Dysentery,Badulla,872307,0.0,0.0,0.2030811009333332,0.31797871036301356,Normal
3,Batticaloa,2,Dysentery,Batticaloa,595918,0.3356166452431375,0.04546648792177449,0.7096709638752847,1.04177320185204,Normal
3,Colombo,1,Dysentery,Colombo,2375415,0.0420979071025484,0.0,0.10771529450315195,0.17414225704034297,Normal
3,Galle,0,Dysentery,Galle,1097372,0.0,0.0,0.31311851162715504,0.47202243674146915,Normal
3,Gampaha,0,Dysentery,Gampaha,2436142,0.0,0.0,0.13140642503886504,0.20597645118902064,Normal
3,Hambantota,0,Dysentery,Hambantota,837889,0.0,0.0,0.1603972618550357,0.24964502226610374,Normal
3,Jaffna,3,Dysentery,Jaffna,594751,0.5044127710588129,0.0,0.39062874603642456,0.5904859953262468,Warning
3,Kalmunai,0,Dysentery,Kalmunai,52798,0.0,0.0,3.619375203727471,5.7089721815897425,Normal
3,Kalutara,2,Dysentery,Kalutara,1305784,0.1531646887999853,0.0,0.13860505357343197,0.21830061145456192,Warning
3,Kandy,1,Dysentery,Kandy,1461895,0.06840436556661046,0.0,0.10103289087393189,0.16523266182738122,Normal
3,Kegalle,1,Dysentery,Kegalle,870476,0.11487967502837529,0.0,0.2983728125670497,0.4774475010661711,Normal
3,Kilinochchi,0,Dysentery,Kilinochchi,123756,0.0,0.0,0.7088035855644657,1.1534397150677487,Normal
3,Kurunegala,1,Dysentery,Kurunegala,1768156,0.05655609572910987,0.0010249373527276284,0.21867374221035302,0.3274981446391657,Normal
3,Mannar,0,Dysentery,Mannar,172312,0.0,0.0,0.8232922102198853,1.4122152796682899,Normal
3,Matale,0,Dysentery,Matale,526870,0.0,0.0,0.2734278698085139,0.46290567749398187,Normal
