week_number,area_reported,cases_reported
12,Kegalle,10
13,Colombo,44
13,Gampaha,27
13,Kalutara,17
13,Kandy,11
13,Matale,6
13,NuwaraEliya,3
13,Galle,8
13,Hambantota,3
13,Matara,9
13,Jaffna,2
13,Kilinochchi,0
13,Mannar,0
13,Vavuniya,0
13,Mullaitivu,0
13,Batticaloa,0
13,Ampara,3
13,Trincomalee,0
13,Kalmune,3
13,Kurunegala,5
13,Puttalam,2
13,Anuradhapura,4
13,Polonnaruwa,6
13,Badulla,6
13,Monaragala,1
13,Ratnapura,0
13,Kegalle,5
14,Colombo,55
14,Gampaha,34
14,Kalutara,12
14,Kandy,0
14,Matale,0
14,NuwaraEliya,7
14,Galle,13
14,Hambantota,0
14,Matara,5
14,Jaffna,10
14,Kilinochchi,0
14,Mannar,5
14,Vavuniya,0
14,Mullaitivu,0
14,Batticaloa,6
14,Ampara,4
14,Trincomalee,0
14,Kalmune,4
14,Kurunegala,17
14,Puttalam,5
14,Anuradhapura,8
14,Polonnaruwa,1
14,Badulla,2
14,Monaragala,3
14,Ratnapura,0
14,Kegalle,8
15,Colombo,26
15,Gampaha,23
15,Kalutara,3
15,Kandy,37
15,Matale,3
15,NuwaraEliya,7
15,Galle,8
15,Hambantota,0
15,Matara,1
15,Jaffna,6
15,Kilinochchi,0
15,Mannar,0
15,Vavuniya,7
15,Mullaitivu,0
15,Batticaloa,2
15,Ampara,0
15,Trincomalee,0
15,Kalmune,1
15,Kurunegala,11
15,Puttalam,3
15,Anuradhapura,4
15,Polonnaruwa,0
15,Badulla,2
15,Monaragala,2
15,Ratnapura,1
15,Kegalle,6
16,Colombo,50
16,Gampaha,17
16,Kalutara,2
16,Kandy,1
16,Matale,1
16,NuwaraEliya,5
16,Galle,3
16,Hambantota,0
16,Matara,3
16,Jaffna,4
16,Kilinochchi,0
16,Mannar,1
16,Vavuniya,1
16,Mullaitivu,0
16,Batticaloa,3
16,Ampara,3
16,Trincomalee,6
16,Kalmune,1
16,Kurunegala,15
16,Puttalam,1
16,Anuradhapura,7
16,Polonnaruwa,5
16,Badulla,6
16,Monaragala,0
16,Ratnapura,9
16,Kegalle,4
17,Colombo,38
17,Gampaha,23
17,Kalutara,14
17,Kandy,18
17,Matale,7
17,NuwaraEliya,3
17,Galle,6
17,Hambantota,0
17,Matara,7
17,Jaffna,0
17,Kilinochchi,1
17,Mannar,0
17,Vavuniya,2
17,Mullaitivu,2
17,Batticaloa,11
17,Ampara,0
17,Trincomalee,4
17,Kalmune,5
17,Kurunegala,9
17,Puttalam,1
17,Anuradhapura,4
17,Polonnaruwa,2
17,Badulla,2
17,Monaragala,0
17,Ratnapura,32
17,Kegalle,5
18,Colombo,37
18,Gampaha,27
18,Kalutara,0
18,Kandy,0
18,Matale,0
18,NuwaraEliya,11
18,Galle,7
18,Hambantota,0
18,Matara,1
18,Jaffna,27
18,Kilinochchi,0
18,Mannar,0
18,Vavuniya,1
18,Mullaitivu,0
18,Batticaloa,1
18,Ampara,0
18,Trincomalee,2
18,Kalmune,1
18,Kurunegala,5
18,Puttalam,9
18,Anuradhapura,4
18,Polonnaruwa,5
18,Badulla,4
18,Monaragala,0
18,Ratnapura,17
18,Kegalle,13
19,Colombo,37
19,Gampaha,31
19,Kalutara,0
19,Kandy,1
19,Matale,6
19,NuwaraEliya,8
19,Galle,10
19,Hambantota,6
19,Matara,4
19,Jaffna,16
19,Kilinochchi,1
19,Mannar,3
19,Vavuniya,0
19,Mullaitivu,0
19,Batticaloa,1
19,Ampara,2
19,Trincomalee,5
19,Kalmune,4
19,Kurunegala,0
19,Puttalam,0
19,Anuradhapura,4
19,Polonnaruwa,4
19,Badulla,6
19,Monaragala,0
19,Ratnapura,4
19,Kegalle,8
20,Colombo,59
20,Gampaha,21
20,Kalutara,4
20,Kandy,31
20,Matale,2
20,NuwaraEliya,3
20,Galle,6
20,Hambantota,1
20,Matara,5
20,Jaffna,10
