Week,W,C,S,N,E,NW,NC,U,Sab,Total
week1,56,29,7,8,10,0,19,3,17,149
week2,74,28,15,11,11,2,7,4,11,163
week3,88,12,8,1,17,37,4,7,5,179
week4,61,39,10,6,7,21,8,5,11,168
week5,85,45,17,8,11,1,5,6,18,196
week6,80,3,5,3,2,31,14,4,2,144
week7,89,36,13,12,4,12,9,7,17,199
week8,50,17,10,7,20,7,7,13,6,137
week9,73,11,13,11,11,5,4,4,15,147
week10,69,22,13,5,22,19,1,5,19,175
