week_number,area_reported,cases_reported
1,Colombo,1
1,Gampaha,5
1,Kalutara,1
1,Kandy,1
1,Matale,0
1,Nuwara Eliya,1
1,Galle,1
1,Hambantota,0
1,Matara,2
1,Jaffna,1
1,Kilinochchi,0
1,Mannar,1
1,Vavuniya,1
1,Mullaitivu,0
1,Batticaloa,1
1,Ampara,2
1,Trincomalee,1
1,Kurunegala,2
1,Puttalam,7
1,Anuradhapura,2
1,Polonnaruwa,0
1,Badulla,0
1,Monaragala,2
1,Ratnapura,2
1,Kegalle,1
1,Kalmunai,0
2,Colombo,1
2,Gampaha,1
2,Kalutara,0
2,Kandy,0
2,Matale,0
2,Nuwara Eliya,0
2,Galle,6
2,Hambantota,0
2,Matara,0
2,Jaffna,1
2,Kilinochchi,0
2,Mannar,1
2,Vavuniya,0
2,Mullaitivu,1
2,Batticaloa,1
2,Ampara,0
2,Trincomalee,0
2,Kurunegala,10
2,Puttalam,1
2,Anuradhapura,0
2,Polonnaruwa,0
2,Badulla,1
2,Monaragala,4
2,Ratnapura,3
2,Kegalle,0
2,Kalmunai,1
3,Colombo,0
3,Gampaha,2
3,Kalutara,1
3,Kandy,0
3,Matale,0
3,Nuwara Eliya,0
3,Galle,4
3,Hambantota,1
3,Matara,1
3,Jaffna,0
3,Kilinochchi,0
3,Mannar,1
3,Vavuniya,0
3,Mullaitivu,1
3,Batticaloa,3
3,Ampara,2
3,Trincomalee,3
3,Kurunegala,5
3,Puttalam,0
3,Anuradhapura,0
3,Polonnaruwa,0
3,Badulla,0
3,Monaragala,2
3,Ratnapura,2
3,Kegalle,2
3,Kalmunai,0
4,Colombo,2
4,Gampaha,8
4,Kalutara,2
4,Kandy,1
4,Matale,0
4,Nuwara Eliya,0
4,Galle,4
4,Hambantota,1
4,Matara,2
4,Jaffna,1
4,Kilinochchi,0
4,Mannar,3
4,Vavuniya,0
4,Mullaitivu,1
4,Batticaloa,1
4,Ampara,0
4,Trincomalee,1
4,Kurunegala,2
4,Puttalam,3
4,Anuradhapura,4
4,Polonnaruwa,0
4,Badulla,1
4,Monaragala,4
4,Ratnapura,9
4,Kegalle,2
4,Kalmunai,2
5,Colombo,1
5,Gampaha,2
5,Kalutara,0
5,Kandy,0
5,Matale,0
5,Nuwara Eliya,0
5,Galle,3
5,Hambantota,0
5,Matara,1
5,Jaffna,0
