week_number,area_reported,cases_reported
12,Kegalle,9
13,Colombo,21
13,Gampaha,12
13,Kalutara,8
13,Kandy,3
13,Matale,1
13,NuwaraEliya,1
13,Galle,7
13,Hambantota,1
13,Matara,3
13,Jaffna,5
13,Kilinochchi,2
13,Mannar,1
13,Vavuniya,1
13,Mullaitivu,0
13,Batticaloa,2
13,Ampara,3
13,Trincomalee,0
13,Kalmune,4
13,Kurunegala,26
13,Puttalam,3
13,Anuradhapura,3
13,Polonnaruwa,2
13,Badulla,13
13,Monaragala,3
13,Ratnapura,3
13,Kegalle,3
14,Colombo,45
14,Gampaha,47
14,Kalutara,5
14,Kandy,9
14,Matale,2
14,NuwaraEliya,4
14,Galle,13
14,Hambantota,2
14,Matara,6
14,Jaffna,5
14,Kilinochchi,3
14,Mannar,2
14,Vavuniya,2
14,Mullaitivu,0
14,Batticaloa,4
14,Ampara,4
14,Trincomalee,4
14,Kalmune,6
14,Kurunegala,19
14,Puttalam,4
14,Anuradhapura,9
14,Polonnaruwa,2
14,Badulla,9
14,Monaragala,7
14,Ratnapura,14
14,Kegalle,10
15,Colombo,61
15,Gampaha,21
15,Kalutara,3
15,Kandy,16
15,Matale,3
15,NuwaraEliya,3
15,Galle,3
15,Hambantota,1
15,Matara,0
15,Jaffna,2
15,Kilinochchi,0
15,Mannar,0
15,Vavuniya,1
15,Mullaitivu,0
15,Batticaloa,1
15,Ampara,0
15,Trincomalee,2
15,Kalmune,1
15,Kurunegala,0
15,Puttalam,0
15,Anuradhapura,4
15,Polonnaruwa,0
15,Badulla,3
15,Monaragala,1
15,Ratnapura,0
15,Kegalle,0
16,Colombo,24
16,Gampaha,9
16,Kalutara,1
16,Kandy,18
16,Matale,3
16,NuwaraEliya,20
16,Galle,4
16,Hambantota,2
16,Matara,4
16,Jaffna,5
16,Kilinochchi,0
16,Mannar,1
16,Vavuniya,1
16,Mullaitivu,0
16,Batticaloa,3
16,Ampara,1
16,Trincomalee,3
16,Kalmune,3
16,Kurunegala,19
16,Puttalam,1
16,Anuradhapura,3
16,Polonnaruwa,2
16,Badulla,6
16,Monaragala,2
16,Ratnapura,5
16,Kegalle,3
17,Colombo,26
17,Gampaha,14
17,Kalutara,18
17,Kandy,3
17,Matale,2
17,NuwaraEliya,1
17,Galle,17
17,Hambantota,2
17,Matara,16
17,Jaffna,1
17,Kilinochchi,0
17,Mannar,0
17,Vavuniya,1
17,Mullaitivu,0
17,Batticaloa,5
17,Ampara,0
17,Trincomalee,2
17,Kalmune,2
17,Kurunegala,13
17,Puttalam,1
17,Anuradhapura,6
17,Polonnaruwa,2
17,Badulla,3
17,Monaragala,0
17,Ratnapura,21
17,Kegalle,3
18,Colombo,130
18,Gampaha,49
18,Kalutara,0
18,Kandy,0
18,Matale,0
18,NuwaraEliya,22
18,Galle,30
18,Hambantota,2
18,Matara,5
18,Jaffna,0
18,Kilinochchi,0
18,Mannar,0
18,Vavuniya,0
18,Mullaitivu,0
18,Batticaloa,6
18,Ampara,2
18,Trincomalee,4
18,Kalmune,9
18,Kurunegala,3
18,Puttalam,13
18,Anuradhapura,6
18,Polonnaruwa,6
18,Badulla,8
18,Monaragala,3
18,Ratnapura,18
18,Kegalle,18
19,Colombo,24
19,Gampaha,16
19,Kalutara,0
19,Kandy,0
19,Matale,0
19,NuwaraEliya,0
19,Galle,5
19,Hambantota,2
19,Matara,2
19,Jaffna,1
19,Kilinochchi,0
19,Mannar,0
19,Vavuniya,0
19,Mullaitivu,0
19,Batticaloa,5
19,Ampara,2
19,Trincomalee,4
19,Kalmune,4
19,Kurunegala,0
19,Puttalam,12
19,Anuradhapura,6
19,Polonnaruwa,4
19,Badulla,9
19,Monaragala,1
