week_number,area_reported,cases_reported
1,Colombo,33
1,Gampaha,16
1,Kalutara,0
1,Kandy,0
1,Matale,6
1,Nuwara Eliya,3
1,Galle,3
1,Hambantota,3
1,Matara,0
1,Jaffna,0
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,3
1,Batticaloa,5
1,Ampara,3
1,Trincomalee,3
1,Kurunegala,11
1,Puttalam,0
1,Anuradhapura,6
1,Polonnaruwa,1
1,Badulla,8
1,Monaragala,1
1,Ratnapura,7
1,Kegalle,9
1,Kalmunai,3
2,Colombo,35
2,Gampaha,27
2,Kalutara,3
2,Kandy,57
2,Matale,0
2,Nuwara Eliya,10
2,Galle,18
2,Hambantota,6
2,Matara,11
2,Jaffna,0
2,Kilinochchi,4
2,Mannar,1
2,Vavuniya,1
2,Mullaitivu,0
2,Batticaloa,1
2,Ampara,1
2,Trincomalee,4
2,Kurunegala,7
2,Puttalam,13
2,Anuradhapura,2
2,Polonnaruwa,0
2,Badulla,4
2,Monaragala,3
2,Ratnapura,8
2,Kegalle,12
2,Kalmunai,7
3,Colombo,46
3,Gampaha,21
3,Kalutara,34
3,Kandy,7
3,Matale,3
3,NuwaraEliya,8
3,Galle,14
3,Hambantota,5
3,Matara,4
3,Jaffna,9
3,Kilinochchi,0
3,Mannar,0
3,Vavuniya,0
3,Mullaitivu,1
3,Batticaloa,5
3,Ampara,2
3,Trincomalee,1
3,Kurunegala,8
3,Puttalam,0
3,Anuradhapura,4
3,Polonnaruwa,3
3,Badulla,4
3,Monaragala,3
3,Ratnapura,6
3,Kegalle,8
3,Kalmune,2
4,Colombo,28
4,Gampaha,14
4,Kalutara,17
4,Kandy,12
4,Matale,2
4,NuwaraEliya,8
4,Galle,8
4,Hambantota,4
4,Matara,1
4,Jaffna,6
4,Kilinochchi,0
4,Mannar,0
4,Vavuniya,4
4,Mullaitivu,0
4,Batticaloa,3
4,Ampara,0
4,Trincomalee,3
4,Kurunegala,2
4,Puttalam,3
4,Anuradhapura,13
4,Polonnaruwa,1
4,Badulla,4
4,Monaragala,2
4,Ratnapura,10
4,Kegalle,4
4,Kalmune,0
5,Colombo,25
5,Gampaha,18
5,Kalutara,4
5,Kandy,15
5,Matale,4
5,NuwaraEliya,7
5,Galle,16
5,Hambantota,5
5,Matara,4
5,Jaffna,4
5,Kilinochchi,1
5,Mannar,0
5,Vavuniya,0
5,Mullaitivu,1
5,Batticaloa,0
5,Ampara,1
5,Trincomalee,2
5,Kurunegala,16
5,Puttalam,1
5,Anuradhapura,8
