week_number,area_reported,cases_reported
1,Colombo,0
1,Gampaha,0
1,Kalutara,1
1,Kandy,0
1,Matale,0
1,NuwaraEliya,2
1,Galle,0
1,Hambantota,0
1,Matara,0
1,Jaffna,1
1,Kilinochchi,0
1,Mannar,0
1,Vavuniya,0
1,Mullaitivu,0
1,Batticaloa,9
1,Ampara,0
1,Trincomalee,1
1,Kurunegala,0
1,Puttalam,0
1,Anuradhapura,1
1,Polonnaruwa,0
1,Badulla,1
1,Monaragala,0
1,Ratnapura,2
1,Kegalle,0
1,Kalmune,3
2,Colombo,0
2,Gampaha,0
2,Kalutara,0
2,Kandy,0
2,Matale,0
2,NuwaraEliya,1
2,Galle,0
2,Hambantota,0
2,Matara,1
2,Jaffna,2
2,Kilinochchi,0
2,Mannar,3
2,Vavuniya,0
2,Mullaitivu,0
2,Batticaloa,2
2,Ampara,0
2,Trincomalee,0
2,Kurunegala,1
2,Puttalam,0
2,Anuradhapura,0
2,Polonnaruwa,0
2,Badulla,2
2,Monaragala,0
2,Ratnapura,1
2,Kegalle,0
2,Kalmune,2
3,Colombo,0
3,Gampaha,0
3,Kalutara,1
3,Kandy,0
3,Matale,0
3,NuwaraEliya,2
3,Galle,1
3,Hambantota,0
3,Matara,0
3,Jaffna,0
3,Kilinochchi,1
3,Mannar,0
3,Vavuniya,0
3,Mullaitivu,2
3,Batticaloa,7
3,Ampara,1
3,Trincomalee,0
3,Kurunegala,0
3,Puttalam,0
3,Anuradhapura,0
3,Polonnaruwa,0
3,Badulla,1
3,Monaragala,0
3,Ratnapura,0
3,Kegalle,0
3,Kalmune,4
4,Colombo,0
4,Gampaha,0
4,Kalutara,0
4,Kandy,3
4,Matale,0
4,NuwaraEliya,0
4,Galle,1
4,Hambantota,0
4,Matara,0
4,Jaffna,2
4,Kilinochchi,1
4,Mannar,0
4,Vavuniya,0
4,Mullaitivu,1
4,Batticaloa,8
4,Ampara,0
4,Trincomalee,0
4,Kurunegala,1
4,Puttalam,0
4,Anuradhapura,0
