week_number,area_reported,cases_reported
12,Kalmune,0
13,Colombo,1
13,Gampaha,2
13,Kalutara,0
13,Kandy,1
13,Matale,0
13,NuwaraEliya,1
13,Galle,0
13,Hambantota,0
13,Matara,0
13,Jaffna,0
13,Kilinochchi,0
13,Mannar,0
13,Vavuniya,0
13,Mullaitivu,0
13,Batticaloa,2
13,Ampara,0
13,Trincomalee,0
13,Kurunegala,4
13,Puttalam,1
13,Anuradhapura,0
13,Polonnaruwa,0
13,Badulla,1
13,Monaragala,4
13,Ratnapura,4
13,Kegalle,5
13,Kalmune,0
14,Colombo,1
14,Gampaha,2
14,Kalutara,0
14,Kandy,0
14,Matale,0
14,NuwaraEliya,0
14,Galle,0
14,Hambantota,0
14,Matara,1
14,Jaffna,0
14,Kilinochchi,0
14,Mannar,0
14,Vavuniya,0
14,Mullaitivu,0
14,Batticaloa,0
14,Ampara,0
14,Trincomalee,0
14,Kurunegala,1
14,Puttalam,0
14,Anuradhapura,0
14,Polonnaruwa,0
14,Badulla,2
14,Monaragala,1
14,Ratnapura,6
14,Kegalle,2
14,Kalmune,1
15,Colombo,0
15,Gampaha,0
15,Kalutara,1
15,Kandy,0
15,Matale,0
15,NuwaraEliya,0
15,Galle,0
15,Hambantota,1
15,Matara,0
15,Jaffna,1
15,Kilinochchi,0
15,Mannar,0
15,Vavuniya,0
15,Mullaitivu,0
15,Batticaloa,0
15,Ampara,0
15,Trincomalee,0
15,Kurunegala,3
15,Puttalam,0
15,Anuradhapura,0
15,Polonnaruwa,0
15,Badulla,2
15,Monaragala,0
15,Ratnapura,3
15,Kegalle,3
15,Kalmune,0
16,Colombo,0
16,Gampaha,0
16,Kalutara,1
16,Kandy,0
16,Matale,0
16,NuwaraEliya,0
16,Galle,1
16,Hambantota,0
16,Matara,0
16,Jaffna,0
16,Kilinochchi,0
16,Mannar,0
16,Vavuniya,0
16,Mullaitivu,0
16,Batticaloa,1
16,Ampara,1
16,Trincomalee,0
16,Kurunegala,3
16,Puttalam,0
16,Anuradhapura,2
16,Polonnaruwa,0
16,Badulla,1
16,Monaragala,0
16,Ratnapura,3
16,Kegalle,2
16,Kalmune,0
17,Colombo,3
17,Gampaha,1
17,Kalutara,0
17,Kandy,2
17,Matale,0
17,NuwaraEliya,0
17,Galle,0
17,Hambantota,2
17,Matara,0
17,Jaffna,1
17,Kilinochchi,0
17,Mannar,0
17,Vavuniya,0
17,Mullaitivu,0
17,Batticaloa,0
17,Ampara,0
17,Trincomalee,2
17,Kurunegala,1
17,Puttalam,1
17,Anuradhapura,3
17,Polonnaruwa,0
17,Badulla,0
17,Monaragala,4
17,Ratnapura,1
17,Kegalle,2
17,Kalmune,1
18,Colombo,0
18,Gampaha,1
18,Kalutara,2
18,Kandy,2
18,Matale,0
18,NuwaraEliya,0
18,Galle,2
18,Hambantota,0
18,Matara,0
18,Jaffna,0
18,Kilinochchi,0
18,Mannar,0
18,Vavuniya,0
18,Mullaitivu,0
18,Batticaloa,2
18,Ampara,0
18,Trincomalee,0
18,Kurunegala,2
18,Puttalam,0
18,Anuradhapura,0
18,Polonnaruwa,0
18,Badulla,0
18,Monaragala,0
18,Ratnapura,0
18,Kegalle,0
18,Kalmune,0
19,Colombo,0
19,Gampaha,0
19,Kalutara,1
19,Kandy,0
19,Matale,0
19,NuwaraEliya,0
19,Galle,0
19,Hambantota,1
19,Matara,0
19,Jaffna,0
19,Kilinochchi,0
19,Mannar,0
19,Vavuniya,0
19,Mullaitivu,0
19,Batticaloa,0
19,Ampara,0
19,Trincomalee,1
19,Kurunegala,2
19,Puttalam,1
19,Anuradhapura,0
19,Polonnaruwa,0
19,Badulla,0
19,Monaragala,0
19,Ratnapura,0
19,Kegalle,0
19,Kalmune,1
20,Colombo,0
20,Gampaha,1
20,Kalutara,3
20,Kandy,0
20,Matale,1
20,NuwaraEliya,1
20,Galle,1
20,Hambantota,1
20,Matara,1
20,Jaffna,0
20,Kilinochchi,0
20,Mannar,0
20,Vavuniya,1
20,Mullaitivu,0
20,Batticaloa,3
20,Ampara,0
20,Trincomalee,4
20,Kurunegala,3
20,Puttalam,1
20,Anuradhapura,0
20,Polonnaruwa,1
20,Badulla,0
20,Monaragala,3
20,Ratnapura,1
20,Kegalle,0
20,Kalmune,0
21,Colombo,1
21,Gampaha,1
21,Kalutara,0
21,Kandy,0
21,Matale,0
21,NuwaraEliya,2
21,Galle,0
21,Hambantota,1
21,Matara,0
21,Jaffna,1
21,Kilinochchi,0
21,Mannar,1
21,Vavuniya,0
21,Mullaitivu,0
21,Batticaloa,1
21,Ampara,0
21,Trincomalee,3
21,Kurunegala,3
21,Puttalam,1
21,Anuradhapura,3
21,Polonnaruwa,2
21,Badulla,0
21,Monaragala,1
21,Ratnapura,2
21,Kegalle,0
21,Kalmune,1
22,Colombo,0
22,Gampaha,1
22,Kalutara,2
22,Kandy,1
22,Matale,0
22,NuwaraEliya,1
22,Galle,1
22,Hambantota,0
22,Matara,0
22,Jaffna,1
22,Kilinochchi,0
22,Mannar,0
22,Vavuniya,1
22,Mullaitivu,0
22,Batticaloa,2
22,Ampara,0
22,Trincomalee,0
22,Kurunegala,2
22,Puttalam,1
22,Anuradhapura,3
22,Polonnaruwa,0
22,Badulla,2
22,Monaragala,2
22,Ratnapura,8
22,Kegalle,1
22,Kalmune,3
23,Colombo,1
23,Gampaha,0
23,Kalutara,0
23,Kandy,0
23,Matale,0
23,NuwaraEliya,0
23,Galle,0
23,Hambantota,0
23,Matara,0
23,Jaffna,1
23,Kilinochchi,0
23,Mannar,1
23,Vavuniya,0
23,Mullaitivu,0
23,Batticaloa,1
23,Ampara,0
23,Trincomalee,1
23,Kurunegala,3
23,Puttalam,0
23,Anuradhapura,1
23,Polonnaruwa,0
23,Badulla,1
23,Monaragala,0
23,Ratnapura,6
23,Kegalle,7
23,Kalmune,0
24,Colombo,3
24,Gampaha,1
24,Kalutara,0
24,Kandy,0
24,Matale,0
24,NuwaraEliya,0
24,Galle,0
24,Hambantota,0
24,Matara,1
24,Jaffna,0
24,Kilinochchi,0
24,Mannar,1
24,Vavuniya,0
24,Mullaitivu,0
24,Batticaloa,1
24,Ampara,0
24,Trincomalee,0
24,Kurunegala,1
24,Puttalam,4
24,Anuradhapura,2
24,Polonnaruwa,0
24,Badulla,1
24,Monaragala,0
24,Ratnapura,3
24,Kegalle,1
24,Kalmune,1
25,Colombo,1
25,Gampaha,1
25,Kalutara,4
25,Kandy,1
25,Matale,1
25,NuwaraEliya,0
25,Galle,1
25,Hambantota,1
25,Matara,2
25,Jaffna,1
25,Kilinochchi,0
25,Mannar,0
25,Vavuniya,0
25,Mullaitivu,0
25,Batticaloa,1
25,Ampara,0
25,Trincomalee,0
25,Kurunegala,9
25,Puttalam,0
25,Anuradhapura,4
25,Polonnaruwa,0
25,Badulla,4
25,Monaragala,1
25,Ratnapura,1
25,Kegalle,1
25,Kalmune,4
26,Colombo,2
26,Gampaha,3
26,Kalutara,7
26,Kandy,2
26,Matale,0
26,NuwaraEliya,0
26,Galle,0
26,Hambantota,0
26,Matara,0
26,Jaffna,0
26,Kilinochchi,0
26,Mannar,1
26,Vavuniya,0
26,Mullaitivu,0
26,Batticaloa,0
26,Ampara,0
26,Trincomalee,3
26,Kurunegala,3
26,Puttalam,1
26,Anuradhapura,0
26,Polonnaruwa,0
26,Badulla,1
26,Monaragala,1
26,Ratnapura,5
26,Kegalle,0
26,Kalmune,0
27,Colombo,0
27,Gampaha,1
27,Kalutara,1
27,Kandy,2
27,Matale,0
27,NuwaraEliya,0
27,Galle,0
27,Hambantota,1
27,Matara,2
27,Jaffna,0
27,Kilinochchi,0
27,Mannar,1
27,Vavuniya,0
27,Mullaitivu,0
27,Batticaloa,0
27,Ampara,1
27,Trincomalee,0
27,Kurunegala,6
27,Puttalam,0
27,Anuradhapura,1
27,Polonnaruwa,0
27,Badulla,1
27,Monaragala,4
27,Ratnapura,5
27,Kegalle,1
27,Kalmune,2
28,Colombo,2
28,Gampaha,4
28,Kalutara,5
28,Kandy,2
28,Matale,0
28,NuwaraEliya,0
28,Galle,2
28,Hambantota,0
28,Matara,1
28,Jaffna,0
28,Kilinochchi,0
28,Mannar,0
28,Vavuniya,0
28,Mullaitivu,0
28,Batticaloa,0
28,Ampara,0
28,Trincomalee,0
28,Kurunegala,4
28,Puttalam,2
28,Anuradhapura,0
28,Polonnaruwa,0
28,Badulla,3
28,Monaragala,0
28,Ratnapura,1
28,Kegalle,4
28,Kalmune,0
29,Colombo,0
29,Gampaha,2
29,Kalutara,1
29,Kandy,0
29,Matale,0
29,NuwaraEliya,0
29,Galle,0
29,Hambantota,0
29,Matara,0
29,Jaffna,3
29,Kilinochchi,0
29,Mannar,0
29,Vavuniya,0
29,Mullaitivu,0
29,Batticaloa,1
29,Ampara,0
29,Trincomalee,2
29,Kurunegala,3
29,Puttalam,1
29,Anuradhapura,4
29,Polonnaruwa,2
29,Badulla,2
29,Monaragala,2
29,Ratnapura,1
29,Kegalle,4
29,Kalmune,0
30,Colombo,1
30,Gampaha,5
30,Kalutara,6
30,Kandy,0
30,Matale,0
30,NuwaraEliya,0
30,Galle,1
30,Hambantota,0
30,Matara,1
30,Jaffna,0
30,Kilinochchi,1
30,Mannar,0
30,Vavuniya,7
30,Mullaitivu,0
30,Batticaloa,0
30,Ampara,1
30,Trincomalee,0
30,Kurunegala,5
30,Puttalam,3
30,Anuradhapura,1
30,Polonnaruwa,0
30,Badulla,0
30,Monaragala,2
30,Ratnapura,1
30,Kegalle,3
30,Kalmune,3
31,Colombo,1
31,Gampaha,2
31,Kalutara,0
31,Kandy,0
31,Matale,0
31,NuwaraEliya,1
31,Galle,0
31,Hambantota,0
31,Matara,0
31,Jaffna,1
31,Kilinochchi,1
31,Mannar,1
31,Vavuniya,1
31,Mullaitivu,0
31,Batticaloa,0
31,Ampara,2
31,Trincomalee,0
31,Kurunegala,10
31,Puttalam,4
31,Anuradhapura,3
31,Polonnaruwa,1
31,Badulla,1
31,Monaragala,0
31,Ratnapura,0
31,Kegalle,3
31,Kalmune,2
32,Colombo,0
32,Gampaha,6
32,Kalutara,1
32,Kandy,0
32,Matale,0
32,NuwaraEliya,2
32,Galle,1
32,Hambantota,0
32,Matara,0
32,Jaffna,0
32,Kilinochchi,0
32,Mannar,0
32,Vavuniya,0
32,Mullaitivu,1
32,Batticaloa,0
32,Ampara,0
32,Trincomalee,3
32,Kurunegala,10
32,Puttalam,0
32,Anuradhapura,1
32,Polonnaruwa,0
32,Badulla,1
32,Monaragala,2
32,Ratnapura,0
32,Kegalle,2
32,Kalmune,0
33,Colombo,0
33,Gampaha,5
33,Kalutara,0
33,Kandy,1
33,Matale,0
33,NuwaraEliya,3
33,Galle,3
33,Hambantota,0
33,Matara,0
33,Jaffna,2
33,Kilinochchi,0
33,Mannar,0
33,Vavuniya,0
33,Mullaitivu,1
33,Batticaloa,0
33,Ampara,1
33,Trincomalee,0
33,Kurunegala,12
33,Puttalam,3
33,Anuradhapura,2
33,Polonnaruwa,0
33,Badulla,0
33,Monaragala,3
33,Ratnapura,3
33,Kegalle,2
33,Kalmune,0
34,Colombo,2
34,Gampaha,9
34,Kalutara,3
34,Kandy,1
34,Matale,0
34,NuwaraEliya,5
34,Galle,0
34,Hambantota,0
34,Matara,0
34,Jaffna,1
34,Kilinochchi,0
34,Mannar,0
34,Vavuniya,0
34,Mullaitivu,0
34,Batticaloa,0
34,Ampara,0
34,Trincomalee,0
34,Kurunegala,8
34,Puttalam,0
34,Anuradhapura,1
34,Polonnaruwa,0
34,Badulla,0
34,Monaragala,2
34,Ratnapura,1
34,Kegalle,7
34,Kalmune,1
35,Colombo,2
35,Gampaha,2
35,Kalutara,5
35,Kandy,0
35,Matale,0
35,NuwaraEliya,0
35,Galle,2
35,Hambantota,0
35,Matara,0
35,Jaffna,1
35,Kilinochchi,0
35,Mannar,0
35,Vavuniya,1
35,Mullaitivu,0
35,Batticaloa,1
35,Ampara,1
35,Trincomalee,0
35,Kurunegala,4
35,Puttalam,3
35,Anuradhapura,1
35,Polonnaruwa,0
35,Badulla,3
35,Monaragala,1
35,Ratnapura,3
35,Kegalle,2
35,Kalmune,1
36,Colombo,0
36,Gampaha,5
36,Kalutara,0
36,Kandy,0
36,Matale,0
36,NuwaraEliya,0
36,Galle,0
36,Hambantota,0
36,Matara,0
36,Jaffna,2
36,Kilinochchi,0
36,Mannar,0
36,Vavuniya,0
36,Mullaitivu,0
36,Batticaloa,2
36,Ampara,1
36,Trincomalee,0
36,Kurunegala,2
36,Puttalam,2
36,Anuradhapura,0
36,Polonnaruwa,0
36,Badulla,0
36,Monaragala,6
36,Ratnapura,3
36,Kegalle,0
36,Kalmune,2
37,Colombo,2
37,Gampaha,7
37,Kalutara,10
37,Kandy,2
37,Matale,1
37,NuwaraEliya,2
37,Galle,2
37,Hambantota,0
37,Matara,0
37,Jaffna,0
37,Kilinochchi,0
37,Mannar,0
37,Vavuniya,0
37,Mullaitivu,0
37,Batticaloa,0
37,Ampara,1
37,Trincomalee,3
37,Kurunegala,11
37,Puttalam,5
37,Anuradhapura,0
37,Polonnaruwa,0
37,Badulla,1
37,Monaragala,4
37,Ratnapura,7
37,Kegalle,6
37,Kalmune,3
38,Colombo,1
38,Gampaha,3
38,Kalutara,2
38,Kandy,0
38,Matale,2
38,NuwaraEliya,1
38,Galle,1
38,Hambantota,1
38,Matara,1
38,Jaffna,0
38,Kilinochchi,0
38,Mannar,0
38,Vavuniya,0
38,Mullaitivu,0
38,Batticaloa,3
38,Ampara,1
38,Trincomalee,0
38,Kurunegala,6
38,Puttalam,1
38,Anuradhapura,0
38,Polonnaruwa,1
38,Badulla,1
38,Monaragala,1
38,Ratnapura,1
38,Kegalle,2
38,Kalmune,0
39,Colombo,1
39,Gampaha,11
39,Kalutara,2
39,Kandy,1
39,Matale,0
39,NuwaraEliya,1
39,Galle,0
39,Hambantota,0
39,Matara,1
39,Jaffna,1
39,Kilinochchi,0
39,Mannar,0
39,Vavuniya,0
39,Mullaitivu,0
39,Batticaloa,2
39,Ampara,4
39,Trincomalee,1
39,Kurunegala,2
39,Puttalam,3
39,Anuradhapura,0
39,Polonnaruwa,0
39,Badulla,1
39,Monaragala,3
39,Ratnapura,4
39,Kegalle,5
39,Kalmune,0
40,Colombo,1
40,Gampaha,4
40,Kalutara,0
40,Kandy,1
40,Matale,0
40,NuwaraEliya,0
40,Galle,1
40,Hambantota,1
40,Matara,2
40,Jaffna,0
40,Kilinochchi,0
40,Mannar,0
40,Vavuniya,0
40,Mullaitivu,0
40,Batticaloa,1
40,Ampara,1
40,Trincomalee,0
40,Kurunegala,6
40,Puttalam,3
40,Anuradhapura,0
40,Polonnaruwa,0
40,Badulla,3
40,Monaragala,0
40,Ratnapura,0
40,Kegalle,1
40,Kalmune,1
41,Colombo,1
41,Gampaha,2
41,Kalutara,1
41,Kandy,0
41,Matale,0
41,NuwaraEliya,4
41,Galle,1
41,Hambantota,1
41,Matara,1
41,Jaffna,3
41,Kilinochchi,0
41,Mannar,2
41,Vavuniya,1
41,Mullaitivu,0
41,Batticaloa,2
41,Ampara,3
41,Trincomalee,0
41,Kurunegala,7
41,Puttalam,2
41,Anuradhapura,0
41,Polonnaruwa,1
41,Badulla,2
41,Monaragala,3
41,Ratnapura,0
41,Kegalle,4
41,Kalmune,1
42,Colombo,0
42,Gampaha,4
42,Kalutara,4
42,Kandy,0
42,Matale,1
42,NuwaraEliya,1
42,Galle,1
42,Hambantota,1
42,Matara,0
42,Jaffna,0
42,Kilinochchi,0
42,Mannar,0
42,Vavuniya,0
42,Mullaitivu,0
42,Batticaloa,1
42,Ampara,4
42,Trincomalee,0
42,Kurunegala,3
42,Puttalam,1
42,Anuradhapura,0
42,Polonnaruwa,0
42,Badulla,0
42,Monaragala,1
42,Ratnapura,5
42,Kegalle,1
42,Kalmune,2
43,Colombo,0
43,Gampaha,2
43,Kalutara,4
43,Kandy,0
43,Matale,1
43,NuwaraEliya,3
43,Galle,0
43,Hambantota,0
43,Matara,0
43,Jaffna,0
43,Kilinochchi,0
43,Mannar,0
43,Vavuniya,0
43,Mullaitivu,0
43,Batticaloa,1
43,Ampara,1
43,Trincomalee,0
43,Kurunegala,1
43,Puttalam,2
43,Anuradhapura,8
43,Polonnaruwa,2
43,Badulla,0
43,Monaragala,1
43,Ratnapura,0
43,Kegalle,0
43,Kalmune,2
44,Colombo,2
44,Gampaha,4
44,Kalutara,6
44,Kandy,4
44,Matale,0
44,NuwaraEliya,1
44,Galle,0
44,Hambantota,0
44,Matara,1
44,Jaffna,0
44,Kilinochchi,0
44,Mannar,0
44,Vavuniya,0
44,Mullaitivu,0
44,Batticaloa,2
44,Ampara,0
44,Trincomalee,0
44,Kurunegala,1
44,Puttalam,3
44,Anuradhapura,3
44,Polonnaruwa,0
44,Badulla,0
44,Monaragala,2
44,Ratnapura,0
44,Kegalle,1
44,Kalmune,3
45,Colombo,1
45,Gampaha,3
45,Kalutara,0
45,Kandy,2
45,Matale,0
45,NuwaraEliya,1
45,Galle,1
45,Hambantota,0
45,Matara,0
45,Jaffna,0
45,Kilinochchi,0
45,Mannar,1
45,Vavuniya,0
45,Mullaitivu,0
45,Batticaloa,3
45,Ampara,2
45,Trincomalee,0
45,Kurunegala,1
45,Puttalam,8
45,Anuradhapura,2
45,Polonnaruwa,1
45,Badulla,0
45,Monaragala,0
45,Ratnapura,2
45,Kegalle,1
45,Kalmune,2
46,Colombo,0
46,Gampaha,0
46,Kalutara,1
46,Kandy,0
46,Matale,0
46,NuwaraEliya,0
46,Galle,0
46,Hambantota,0
46,Matara,0
46,Jaffna,0
46,Kilinochchi,0
46,Mannar,0
46,Vavuniya,1
46,Mullaitivu,0
46,Batticaloa,2
46,Ampara,1
46,Trincomalee,0
46,Kurunegala,0
46,Puttalam,0
46,Anuradhapura,0
46,Polonnaruwa,0
46,Badulla,0
46,Monaragala,0
46,Ratnapura,1
46,Kegalle,0
46,Kalmune,1
47,Colombo,0
47,Gampaha,0
47,Kalutara,0
47,Kandy,0
47,Matale,1
47,NuwaraEliya,1
47,Galle,0
47,Hambantota,0
47,Matara,1
47,Jaffna,1
47,Kilinochchi,0
47,Mannar,0
47,Vavuniya,1
47,Mullaitivu,0
47,Batticaloa,2
47,Ampara,3
47,Trincomalee,1
47,Kurunegala,2
47,Puttalam,4
47,Anuradhapura,2
47,Polonnaruwa,0
47,Badulla,0
47,Monaragala,0
47,Ratnapura,0
47,Kegalle,1
47,Kalmune,1
